obsnme,obsval,weight,obgnme
s_00,0.030471707975443137,1.0,drawdown
s_01,0.0,1.0,drawdown
s_02,0.0750451794346997,1.0,drawdown
s_03,0.09417780143065518,1.0,drawdown
s_04,0.0,1.0,drawdown
s_05,0.0,1.0,drawdown
s_06,0.04234326488213927,1.0,drawdown
s_07,0.02764642145101691,1.0,drawdown
s_08,0.09562897861008521,1.0,drawdown
s_09,0.05261345316814778,1.0,drawdown
s_10,0.26603172476213083,1.0,drawdown
s_11,0.2954527257267917,1.0,drawdown
s_12,0.261371115649601,1.0,drawdown
s_13,0.40021402763609704,1.0,drawdown
s_14,0.3638337440570581,1.0,drawdown
s_15,0.2600775811339723,1.0,drawdown
s_16,0.4124946698596178,1.0,drawdown
s_17,0.31040653810359703,1.0,drawdown
s_18,0.5235562178238099,1.0,drawdown
s_19,0.4568280749399629,1.0,drawdown
s_20,0.46745017708862807,1.0,drawdown
s_21,0.44172875361912894,1.0,drawdown
s_22,0.6548669824191207,1.0,drawdown
s_23,0.5400218038253366,1.0,drawdown
s_24,0.5389603123514974,1.0,drawdown
s_25,0.5761585350927203,1.0,drawdown
s_26,0.6941695965464301,1.0,drawdown
s_27,0.7069974454486414,1.0,drawdown
s_28,0.743874374612176,1.0,drawdown
s_29,0.7797555124127407,1.0,drawdown
s_30,0.9830761317977954,1.0,drawdown
s_31,0.7557887416864952,1.0,drawdown
s_32,0.7668975679269192,1.0,drawdown
s_33,0.752676053250777,1.0,drawdown
s_34,0.9070864849995823,1.0,drawdown
s_35,0.9688845935108075,1.0,drawdown
s_36,0.8558394559455207,1.0,drawdown
s_37,0.7945167509158773,1.0,drawdown
s_38,0.808700868631912,1.0,drawdown
s_39,0.970184688844847,1.0,drawdown
s_40,0.9934080924004903,1.0,drawdown
s_41,0.9884063727585586,1.0,drawdown
s_42,0.8843046376435453,1.0,drawdown
s_43,0.9932514175415565,1.0,drawdown
s_44,1.002953417491473,1.0,drawdown
s_45,1.0364838132829304,1.0,drawdown
s_46,1.1265651082108006,1.0,drawdown
s_47,1.089120904453567,1.0,drawdown
s_48,1.1668377290660814,1.0,drawdown
s_49,1.1439661192114412,1.0,drawdown
s_50,1.209249623975328,1.0,drawdown
s_51,1.286719677721468,1.0,drawdown
