,r,c,sp,sidx,idx_strs,pargpq,parval1_q,q
0,22,11,0,"(22, 11, 0)",r:22_c:11_sp:0,p_inst:0,1.0,52.27871098176402142598817590624094009399414062500000000000000
1,9,40,0,"(9, 40, 0)",r:9_c:40_sp:0,p_inst:0,1.0,99.3708065542540310843833140097558498382568359375000000000000
2,17,43,0,"(17, 43, 0)",r:17_c:43_sp:0,p_inst:0,1.0,0.774504917604363019023594461032189428806304931640625000000000
3,43,23,0,"(43, 23, 0)",r:43_c:23_sp:0,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
4,33,31,0,"(33, 31, 0)",r:33_c:31_sp:0,p_inst:0,1.0,1.26753855521403536954494484234601259231567382812500000000e+02
5,26,22,0,"(26, 22, 0)",r:26_c:22_sp:0,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
6,37,37,0,"(37, 37, 0)",r:37_c:37_sp:0,p_inst:0,1.0,0.065569307366893314625855282429256476461887359619140625000000
7,32,8,0,"(32, 8, 0)",r:32_c:8_sp:0,p_inst:0,1.0,0.01052322978227059925571129639365608454681932926177978515625
8,9,28,0,"(9, 28, 0)",r:9_c:28_sp:0,p_inst:0,1.0,0.44971414214274568754703409467765595763921737670898437500000
9,31,38,0,"(31, 38, 0)",r:31_c:38_sp:0,p_inst:0,1.0,62.17402115435034914980860776267945766448974609375000000000000
10,22,11,1,"(22, 11, 1)",r:22_c:11_sp:1,p_inst:0,1.0,19.82568964784399057066366367507725954055786132812500000000000
11,9,40,1,"(9, 40, 1)",r:9_c:40_sp:1,p_inst:0,1.0,0.05781926110793919604269319734157761558890342712402343750000
12,17,43,1,"(17, 43, 1)",r:17_c:43_sp:1,p_inst:0,1.0,0.112800542204383583144711167278728680685162544250488281250000
13,43,23,1,"(43, 23, 1)",r:43_c:23_sp:1,p_inst:0,1.0,6.11970263040823264470702280704017539392225444316864013672e-04
14,33,31,1,"(33, 31, 1)",r:33_c:31_sp:1,p_inst:0,1.0,0.136805794049050327698680007415532600134611129760742187500000
15,26,22,1,"(26, 22, 1)",r:26_c:22_sp:1,p_inst:0,1.0,0.182734851219596150517787691569537855684757232666015625000000
16,37,37,1,"(37, 37, 1)",r:37_c:37_sp:1,p_inst:0,1.0,7.083795290625151785945945448474958539009094238281250000000000
17,32,8,1,"(32, 8, 1)",r:32_c:8_sp:1,p_inst:0,1.0,0.68138529578835538291770035357330925762653350830078125000000
18,9,28,1,"(9, 28, 1)",r:9_c:28_sp:1,p_inst:0,1.0,2.75688614410353283190602269314695149660110473632812500000000
19,31,38,1,"(31, 38, 1)",r:31_c:38_sp:1,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
20,22,11,2,"(22, 11, 2)",r:22_c:11_sp:2,p_inst:0,1.0,16.89541206493194636095722671598196029663085937500000000000000
21,9,40,2,"(9, 40, 2)",r:9_c:40_sp:2,p_inst:0,1.0,0.01870281814574180009880244313080766005441546440124511718750
22,17,43,2,"(17, 43, 2)",r:17_c:43_sp:2,p_inst:0,1.0,0.730083795279351410734136607061373069882392883300781250000000
23,43,23,2,"(43, 23, 2)",r:43_c:23_sp:2,p_inst:0,1.0,0.235496681226995657754130775174417067319154739379882812500000
24,33,31,2,"(33, 31, 2)",r:33_c:31_sp:2,p_inst:0,1.0,1.258869213798656572222967042762320488691329956054687500000000
25,26,22,2,"(26, 22, 2)",r:26_c:22_sp:2,p_inst:0,1.0,35.88023109567419766108287149108946323394775390625000000000000
26,37,37,2,"(37, 37, 2)",r:37_c:37_sp:2,p_inst:0,1.0,30.12294607184339767513847618829458951950073242187500000000000
