,r,c,sp,sidx,idx_strs,pargpq,parval1_q,q
0,22,11,0,"(22, 11, 0)",r:22_c:11_sp:0,p_inst:0,1.0,0.239838662024068310918423208022431936115026473999023437500000
1,9,40,0,"(9, 40, 0)",r:9_c:40_sp:0,p_inst:0,1.0,5.34223724694509982668932934757322072982788085937500000000000
2,17,43,0,"(17, 43, 0)",r:17_c:43_sp:0,p_inst:0,1.0,1.32855103412195599266176770925085293129086494445800781250e-03
3,43,23,0,"(43, 23, 0)",r:43_c:23_sp:0,p_inst:0,1.0,8.64925050185863866780699993341841036453843116760253906250e-03
4,33,31,0,"(33, 31, 0)",r:33_c:31_sp:0,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
5,26,22,0,"(26, 22, 0)",r:26_c:22_sp:0,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
6,37,37,0,"(37, 37, 0)",r:37_c:37_sp:0,p_inst:0,1.0,0.484014229270454121589750684506725519895553588867187500000000
7,32,8,0,"(32, 8, 0)",r:32_c:8_sp:0,p_inst:0,1.0,16.2385880752900746415434696245938539505004882812500000000000
8,9,28,0,"(9, 28, 0)",r:9_c:28_sp:0,p_inst:0,1.0,10.7190901420103887886625670944340527057647705078125000000000
9,31,38,0,"(31, 38, 0)",r:31_c:38_sp:0,p_inst:0,1.0,61.09753274198538264272428932599723339080810546875000000000000
10,22,11,1,"(22, 11, 1)",r:22_c:11_sp:1,p_inst:0,1.0,6.864675492192797712220908579183742403984069824218750000000000
11,9,40,1,"(9, 40, 1)",r:9_c:40_sp:1,p_inst:0,1.0,9.1178110236564099185668785807479252980556339025497436523e-04
12,17,43,1,"(17, 43, 1)",r:17_c:43_sp:1,p_inst:0,1.0,0.841545217661589628477258884231559932231903076171875000000000
13,43,23,1,"(43, 23, 1)",r:43_c:23_sp:1,p_inst:0,1.0,0.024091942018070668096729747276185662485659122467041015625000
14,33,31,1,"(33, 31, 1)",r:33_c:31_sp:1,p_inst:0,1.0,3.046806953799488404399653518339619040489196777343750000000000
15,26,22,1,"(26, 22, 1)",r:26_c:22_sp:1,p_inst:0,1.0,0.163773416606262434136453975952463224530220031738281250000000
16,37,37,1,"(37, 37, 1)",r:37_c:37_sp:1,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
17,32,8,1,"(32, 8, 1)",r:32_c:8_sp:1,p_inst:0,1.0,11.3854205616730439487582771107554435729980468750000000000000
18,9,28,1,"(9, 28, 1)",r:9_c:28_sp:1,p_inst:0,1.0,0.06529906550630190653627948904613731428980827331542968750000
19,31,38,1,"(31, 38, 1)",r:31_c:38_sp:1,p_inst:0,1.0,8.20769875071493404394828985459753312170505523681640625000e-03
20,22,11,2,"(22, 11, 2)",r:22_c:11_sp:2,p_inst:0,1.0,81.28846851368876968990662135183811187744140625000000000000000
21,9,40,2,"(9, 40, 2)",r:9_c:40_sp:2,p_inst:0,1.0,0.44458243159288024504149916538153775036334991455078125000000
22,17,43,2,"(17, 43, 2)",r:17_c:43_sp:2,p_inst:0,1.0,1.36711672515432013597092009149491786956787109375000000000e+02
23,43,23,2,"(43, 23, 2)",r:43_c:23_sp:2,p_inst:0,1.0,3.632233896456144695008561029681004583835601806640625000000000
24,33,31,2,"(33, 31, 2)",r:33_c:31_sp:2,p_inst:0,1.0,4.74695560922747290810708165054165874607861042022705078125e-04
25,26,22,2,"(26, 22, 2)",r:26_c:22_sp:2,p_inst:0,1.0,3.78204583167228690854244632646441459655761718750000000000e+02
26,37,37,2,"(37, 37, 2)",r:37_c:37_sp:2,p_inst:0,1.0,1.30163746204549823914931039325892925262451171875000000000e+02
27,32,8,2,"(32, 8, 2)",r:32_c:8_sp:2,p_inst:0,1.0,1.4292438286788577018332491164187558752018958330154418945e-03
28,9,28,2,"(9, 28, 2)",r:9_c:28_sp:2,p_inst:0,1.0,1.6101449580311856379921664483845233917236328125000000000e+02
29,31,38,2,"(31, 38, 2)",r:31_c:38_sp:2,p_inst:0,1.0,0.076003587858849350200607375427352963015437126159667968750000
30,22,11,3,"(22, 11, 3)",r:22_c:11_sp:3,p_inst:0,1.0,0.537780816355510338233614220371237024664878845214843750000000
31,9,40,3,"(9, 40, 3)",r:9_c:40_sp:3,p_inst:0,1.0,0.02072537951674313649874648035620339214801788330078125000000
32,17,43,3,"(17, 43, 3)",r:17_c:43_sp:3,p_inst:0,1.0,0.239463133596976518457921656590769998729228973388671875000000
33,43,23,3,"(43, 23, 3)",r:43_c:23_sp:3,p_inst:0,1.0,2.306511424845600899402597860898822546005249023437500000000000
34,33,31,3,"(33, 31, 3)",r:33_c:31_sp:3,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
35,26,22,3,"(26, 22, 3)",r:26_c:22_sp:3,p_inst:0,1.0,28.90412638363842035005291108973324298858642578125000000000000
36,37,37,3,"(37, 37, 3)",r:37_c:37_sp:3,p_inst:0,1.0,4.30033377073932299161640457896282896399497985839843750000e-03
37,32,8,3,"(32, 8, 3)",r:32_c:8_sp:3,p_inst:0,1.0,10.8761541538795611927525897044688463211059570312500000000000
38,9,28,3,"(9, 28, 3)",r:9_c:28_sp:3,p_inst:0,1.0,23.4172754247304020225328713422641158103942871093750000000000
39,31,38,3,"(31, 38, 3)",r:31_c:38_sp:3,p_inst:0,1.0,0.020533802168982449865008987899273051880300045013427734375000
40,22,11,4,"(22, 11, 4)",r:22_c:11_sp:4,p_inst:0,1.0,2.32979418927827481411441112868487834930419921875000000000e+02
41,9,40,4,"(9, 40, 4)",r:9_c:40_sp:4,p_inst:0,1.0,20.3282012492125900848805031273514032363891601562500000000000
42,17,43,4,"(17, 43, 4)",r:17_c:43_sp:4,p_inst:0,1.0,0.161522569371060242815474339295178651809692382812500000000000
43,43,23,4,"(43, 23, 4)",r:43_c:23_sp:4,p_inst:0,1.0,0.073884394686680190944549906362226465716958045959472656250000
44,33,31,4,"(33, 31, 4)",r:33_c:31_sp:4,p_inst:0,1.0,4.58387210808184134003262499845732236281037330627441406250e-03
45,26,22,4,"(26, 22, 4)",r:26_c:22_sp:4,p_inst:0,1.0,2.140900951884199709951417389675043523311614990234375000000000
46,37,37,4,"(37, 37, 4)",r:37_c:37_sp:4,p_inst:0,1.0,0.121934009679321539443286326331872260197997093200683593750000
47,32,8,4,"(32, 8, 4)",r:32_c:8_sp:4,p_inst:0,1.0,2.9403249680411804381496843063814594643190503120422363281e-03
48,9,28,4,"(9, 28, 4)",r:9_c:28_sp:4,p_inst:0,1.0,6.89564667744607451282945476123131811618804931640625000000000
49,31,38,4,"(31, 38, 4)",r:31_c:38_sp:4,p_inst:0,1.0,2.302239232309692962274993988103233277797698974609375000000000
50,22,11,5,"(22, 11, 5)",r:22_c:11_sp:5,p_inst:0,1.0,4.746252980958185041515662305755540728569030761718750000000000
51,9,40,5,"(9, 40, 5)",r:9_c:40_sp:5,p_inst:0,1.0,23.6623693787467210825070651480928063392639160156250000000000
52,17,43,5,"(17, 43, 5)",r:17_c:43_sp:5,p_inst:0,1.0,1.310883475531919195589125592960044741630554199218750000000000
53,43,23,5,"(43, 23, 5)",r:43_c:23_sp:5,p_inst:0,1.0,4.20206165741866641383239766582846641540527343750000000000e+02
54,33,31,5,"(33, 31, 5)",r:33_c:31_sp:5,p_inst:0,1.0,1.17482816383408959381995373405516147613525390625000000000e+02
55,26,22,5,"(26, 22, 5)",r:26_c:22_sp:5,p_inst:0,1.0,0.024546077158961374792278675727175141219049692153930664062500
56,37,37,5,"(37, 37, 5)",r:37_c:37_sp:5,p_inst:0,1.0,1.857006960644618009936834823747631162405014038085937500000000
57,32,8,5,"(32, 8, 5)",r:32_c:8_sp:5,p_inst:0,1.0,0.02335345273027153792377852425943274283781647682189941406250
58,9,28,5,"(9, 28, 5)",r:9_c:28_sp:5,p_inst:0,1.0,0.02479477560739775515719074405751598533242940902709960937500
59,31,38,5,"(31, 38, 5)",r:31_c:38_sp:5,p_inst:0,1.0,4.78430396021667661443643737584352493286132812500000000000e+02
60,22,11,6,"(22, 11, 6)",r:22_c:11_sp:6,p_inst:0,1.0,87.44686184864377764824894256889820098876953125000000000000000
61,9,40,6,"(9, 40, 6)",r:9_c:40_sp:6,p_inst:0,1.0,11.4900621821573150072026692214421927928924560546875000000000
