,r,c,sp,sidx,idx_strs,pargpq,parval1_q,q
0,22,11,0,"(22, 11, 0)",r:22_c:11_sp:0,p_inst:0,1.0,1.038173593957918638963633384264539927244186401367187500000000
1,9,40,0,"(9, 40, 0)",r:9_c:40_sp:0,p_inst:0,1.0,1.9685697617949746325571869220993903581984341144561767578e-03
2,17,43,0,"(17, 43, 0)",r:17_c:43_sp:0,p_inst:0,1.0,0.573987766904650476007532233779784291982650756835937500000000
3,43,23,0,"(43, 23, 0)",r:43_c:23_sp:0,p_inst:0,1.0,53.17529627250947754646404064260423183441162109375000000000000
4,33,31,0,"(33, 31, 0)",r:33_c:31_sp:0,p_inst:0,1.0,0.023467227927999420589166845729778287932276725769042968750000
5,26,22,0,"(26, 22, 0)",r:26_c:22_sp:0,p_inst:0,1.0,0.157297005226165381719383162817393895238637924194335937500000
6,37,37,0,"(37, 37, 0)",r:37_c:37_sp:0,p_inst:0,1.0,2.32856275099269566908333217725157737731933593750000000000e+02
7,32,8,0,"(32, 8, 0)",r:32_c:8_sp:0,p_inst:0,1.0,1.7605622297607807482050859548827759226696798577904701233e-05
8,9,28,0,"(9, 28, 0)",r:9_c:28_sp:0,p_inst:0,1.0,3.6328708455257805098881362937390804290771484375000000000e+02
9,31,38,0,"(31, 38, 0)",r:31_c:38_sp:0,p_inst:0,1.0,9.456480076989773664308813749812543392181396484375000000000000
10,22,11,1,"(22, 11, 1)",r:22_c:11_sp:1,p_inst:0,1.0,7.45931550071728317365116200932106949039734899997711181641e-04
11,9,40,1,"(9, 40, 1)",r:9_c:40_sp:1,p_inst:0,1.0,0.07592049634128464341564779260806972160935401916503906250000
12,17,43,1,"(17, 43, 1)",r:17_c:43_sp:1,p_inst:0,1.0,4.99999999999999943156581139191985130310058593750000000000e+02
13,43,23,1,"(43, 23, 1)",r:43_c:23_sp:1,p_inst:0,1.0,18.67226949838066474285369622521102428436279296875000000000000
14,33,31,1,"(33, 31, 1)",r:33_c:31_sp:1,p_inst:0,1.0,12.29052760880056816006344888592138886451721191406250000000000
15,26,22,1,"(26, 22, 1)",r:26_c:22_sp:1,p_inst:0,1.0,5.95462666735796682104808752455937792547047138214111328125e-03
