,r,c,sp,sidx,idx_strs,pargpq,parval1_q,q
0,22,11,0,"(22, 11, 0)",r:22_c:11_sp:0,p_inst:0,1.0,3.54999524401740416124084731563925743103027343750000000000e+02
1,9,40,0,"(9, 40, 0)",r:9_c:40_sp:0,p_inst:0,1.0,30.4789279035078024548965913709253072738647460937500000000000
2,17,43,0,"(17, 43, 0)",r:17_c:43_sp:0,p_inst:0,1.0,7.35652858887704118751732496050976806145627051591873168945e-05
3,43,23,0,"(43, 23, 0)",r:43_c:23_sp:0,p_inst:0,1.0,36.47409089371509338661780930124223232269287109375000000000000
4,33,31,0,"(33, 31, 0)",r:33_c:31_sp:0,p_inst:0,1.0,54.33161672559167243434785632416605949401855468750000000000000
5,26,22,0,"(26, 22, 0)",r:26_c:22_sp:0,p_inst:0,1.0,0.461526037680405454288745659141568467020988464355468750000000
6,37,37,0,"(37, 37, 0)",r:37_c:37_sp:0,p_inst:0,1.0,6.242681554187897496888126624980941414833068847656250000000000
7,32,8,0,"(32, 8, 0)",r:32_c:8_sp:0,p_inst:0,1.0,0.60673213541049508812363910692511126399040222167968750000000
8,9,28,0,"(9, 28, 0)",r:9_c:28_sp:0,p_inst:0,1.0,1.03417560916217610156309092417359352111816406250000000000000
9,31,38,0,"(31, 38, 0)",r:31_c:38_sp:0,p_inst:0,1.0,19.24347471076893256736184412147849798202514648437500000000000
10,22,11,1,"(22, 11, 1)",r:22_c:11_sp:1,p_inst:0,1.0,1.075686759016321936144322535255923867225646972656250000000000
11,9,40,1,"(9, 40, 1)",r:9_c:40_sp:1,p_inst:0,1.0,5.1698481510029786756277303538809064775705337524414062500e-03
12,17,43,1,"(17, 43, 1)",r:17_c:43_sp:1,p_inst:0,1.0,17.73636294292388626558931719046086072921752929687500000000000
13,43,23,1,"(43, 23, 1)",r:43_c:23_sp:1,p_inst:0,1.0,3.52455963835889051274929961721227300586178898811340332031e-03
14,33,31,1,"(33, 31, 1)",r:33_c:31_sp:1,p_inst:0,1.0,1.07431247053557416427232995559393202711362391710281372070e-04
