r,c,sp,qref,a
72,58,0,1330.8627662425372,1.0
70,32,0,1330.8627662425372,1.0
41,36,0,1330.8627662425372,1.0
84,42,0,1330.8627662425372,1.0
76,61,0,1330.8627662425372,1.0
72,45,0,1330.8627662425372,1.0
37,35,0,1330.8627662425372,1.0
34,60,0,1330.8627662425372,1.0
66,39,0,1330.8627662425372,1.0
58,52,0,1330.8627662425372,1.0
54,31,0,1330.8627662425372,1.0
34,54,0,1330.8627662425372,1.0
55,37,0,1330.8627662425372,1.0
77,52,0,1330.8627662425372,1.0
35,37,0,1330.8627662425372,1.0
71,31,0,1330.8627662425372,1.0
73,59,0,1330.8627662425372,1.0
54,41,0,1330.8627662425372,1.0
68,55,0,1330.8627662425372,1.0
59,40,0,1330.8627662425372,1.0
72,58,1,1330.8627662425372,1.0
70,32,1,1330.8627662425372,1.0
41,36,1,1330.8627662425372,1.0
84,42,1,1330.8627662425372,1.0
76,61,1,1330.8627662425372,1.0
72,45,1,1330.8627662425372,1.0
37,35,1,1330.8627662425372,1.0
34,60,1,1330.8627662425372,1.0
66,39,1,1330.8627662425372,1.0
58,52,1,1330.8627662425372,1.0
54,31,1,1330.8627662425372,1.0
34,54,1,1330.8627662425372,1.0
55,37,1,1330.8627662425372,1.0
77,52,1,1330.8627662425372,1.0
35,37,1,1330.8627662425372,1.0
71,31,1,1330.8627662425372,1.0
73,59,1,1330.8627662425372,1.0
54,41,1,1330.8627662425372,1.0
68,55,1,1330.8627662425372,1.0
59,40,1,1330.8627662425372,1.0
72,58,2,1330.8627662425372,1.0
70,32,2,1330.8627662425372,1.0
41,36,2,1330.8627662425372,1.0
84,42,2,1330.8627662425372,1.0
76,61,2,1330.8627662425372,1.0
72,45,2,1330.8627662425372,1.0
37,35,2,1330.8627662425372,1.0
34,60,2,1330.8627662425372,1.0
66,39,2,1330.8627662425372,1.0
58,52,2,1330.8627662425372,1.0
54,31,2,1330.8627662425372,1.0
34,54,2,1330.8627662425372,1.0
55,37,2,1330.8627662425372,1.0
77,52,2,1330.8627662425372,1.0
35,37,2,1330.8627662425372,1.0
71,31,2,1330.8627662425372,1.0
73,59,2,1330.8627662425372,1.0
54,41,2,1330.8627662425372,1.0
68,55,2,1330.8627662425372,1.0
59,40,2,1330.8627662425372,1.0
72,58,3,1330.8627662425372,1.0
70,32,3,1330.8627662425372,1.0
41,36,3,1330.8627662425372,1.0
84,42,3,1330.8627662425372,1.0
76,61,3,1330.8627662425372,1.0
72,45,3,1330.8627662425372,1.0
37,35,3,1330.8627662425372,1.0
34,60,3,1330.8627662425372,1.0
66,39,3,1330.8627662425372,1.0
58,52,3,1330.8627662425372,1.0
54,31,3,1330.8627662425372,1.0
34,54,3,1330.8627662425372,1.0
55,37,3,1330.8627662425372,1.0
77,52,3,1330.8627662425372,1.0
35,37,3,1330.8627662425372,1.0
71,31,3,1330.8627662425372,1.0
73,59,3,1330.8627662425372,1.0
54,41,3,1330.8627662425372,1.0
68,55,3,1330.8627662425372,1.0
59,40,3,1330.8627662425372,1.0
72,58,4,1330.8627662425372,1.0
70,32,4,1330.8627662425372,1.0
41,36,4,1330.8627662425372,1.0
